Dim,mu_1,mu_2,mu_3,mu_4,mu_5,mu_6,mu_7,mu_8,mu_9,mu_10
950,0.144,0.133,0.125,0.11,0.147,0.137,0.13,0.133,0.127,0.134
955,0.139,0.139,0.117,0.138,0.132,0.14,0.133,0.137,0.15,0.127
960,0.135,0.13,0.119,0.133,0.13,0.151,0.127,0.129,0.121,0.13
965,0.12,0.118,0.145,0.144,0.113,0.126,0.128,0.125,0.15,0.141
970,0.139,0.124,0.155,0.143,0.136,0.151,0.13,0.137,0.139,0.117
975,0.136,0.12,0.146,0.128,0.153,0.119,0.14,0.131,0.128,0.141
980,0.141,0.134,0.145,0.15,0.143,0.116,0.127,0.125,0.128,0.148
985,0.13,0.121,0.114,0.142,0.139,0.108,0.128,0.136,0.122,0.123
990,0.141,0.135,0.141,0.127,0.134,0.109,0.135,0.115,0.131,0.127
995,0.153,0.139,0.14,0.128,0.162,0.146,0.129,0.142,0.144,0.127
1000,0.141,0.138,0.154,0.148,0.137,0.127,0.121,0.129,0.125,0.143
