Dim,mu_1,mu_2,mu_3,mu_4,mu_5,mu_6,mu_7,mu_8,mu_9,mu_10,mu_11,mu_12,mu_13,mu_14,mu_15,mu_16,mu_17,mu_18,mu_19,mu_20,mu_21,mu_22,mu_23,mu_24,mu_25,mu_26,mu_27,mu_28,mu_29,mu_30,mu_31,mu_32,mu_33,mu_34,mu_35,mu_36,mu_37,mu_38,mu_39,mu_40,mu_41,mu_42,mu_43,mu_44,mu_45,mu_46,mu_47,mu_48,mu_49,mu_50,mu_51,mu_52,mu_53,mu_54,mu_55,mu_56,mu_57,mu_58,mu_59,mu_60,mu_61,mu_62,mu_63,mu_64,mu_65,mu_66,mu_67,mu_68,mu_69,mu_70,mu_71,mu_72,mu_73,mu_74,mu_75,mu_76,mu_77,mu_78,mu_79,mu_80,mu_81,mu_82,mu_83,mu_84,mu_85,mu_86,mu_87,mu_88,mu_89,mu_90,mu_91,mu_92,mu_93,mu_94,mu_95,mu_96,mu_97,mu_98,mu_99,mu_100
34,0.042,0.055,0.053,0.038,0.038,0.046,0.035,0.04,0.045,0.065,0.038,0.053,0.049,0.063,0.049,0.049,0.036,0.053,0.059,0.055,0.045,0.047,0.05,0.04,0.052,0.046,0.045,0.043,0.044,0.043,0.057,0.051,0.056,0.049,0.043,0.034,0.041,0.057,0.043,0.043,0.054,0.048,0.036,0.054,0.043,0.045,0.049,0.049,0.039,0.036,0.04,0.047,0.058,0.056,0.049,0.047,0.048,0.051,0.048,0.048,0.051,0.054,0.042,0.044,0.042,0.054,0.05,0.05,0.036,0.047,0.047,0.053,0.047,0.063,0.049,0.052,0.052,0.052,0.054,0.04,0.037,0.049,0.043,0.038,0.039,0.046,0.054,0.042,0.046,0.041,0.06,0.048,0.044,0.046,0.037,0.046,0.052,0.046,0.042,0.05
35,0.051,0.054,0.044,0.062,0.043,0.048,0.046,0.049,0.037,0.043,0.055,0.037,0.046,0.055,0.034,0.056,0.051,0.045,0.052,0.046,0.039,0.047,0.045,0.045,0.043,0.035,0.047,0.058,0.037,0.046,0.036,0.041,0.043,0.046,0.057,0.054,0.057,0.053,0.045,0.047,0.053,0.048,0.056,0.043,0.046,0.047,0.05,0.047,0.053,0.054,0.038,0.044,0.038,0.05,0.042,0.045,0.057,0.049,0.046,0.053,0.057,0.05,0.052,0.033,0.036,0.058,0.059,0.06,0.045,0.041,0.037,0.047,0.06,0.044,0.045,0.049,0.047,0.047,0.051,0.046,0.048,0.038,0.04,0.053,0.048,0.05,0.063,0.045,0.045,0.033,0.047,0.049,0.053,0.052,0.054,0.054,0.045,0.052,0.046,0.045
36,0.05,0.055,0.037,0.047,0.05,0.051,0.046,0.05,0.056,0.059,0.049,0.044,0.047,0.063,0.044,0.04,0.051,0.051,0.054,0.061,0.048,0.047,0.047,0.036,0.049,0.046,0.036,0.051,0.061,0.048,0.047,0.036,0.045,0.033,0.044,0.051,0.04,0.046,0.051,0.034,0.062,0.058,0.051,0.044,0.052,0.047,0.052,0.051,0.046,0.052,0.047,0.052,0.047,0.051,0.058,0.052,0.06,0.031,0.05,0.054,0.045,0.041,0.038,0.052,0.041,0.049,0.06,0.051,0.047,0.043,0.059,0.049,0.052,0.054,0.059,0.045,0.056,0.044,0.047,0.056,0.053,0.046,0.05,0.045,0.057,0.057,0.057,0.06,0.049,0.06,0.058,0.049,0.041,0.051,0.044,0.046,0.059,0.058,0.045,0.045
37,0.044,0.059,0.046,0.037,0.056,0.056,0.053,0.053,0.05,0.05,0.061,0.04,0.043,0.053,0.042,0.053,0.051,0.051,0.04,0.058,0.051,0.048,0.046,0.044,0.058,0.043,0.034,0.044,0.052,0.05,0.054,0.045,0.042,0.054,0.068,0.055,0.044,0.05,0.045,0.047,0.043,0.048,0.052,0.035,0.047,0.053,0.052,0.048,0.052,0.045,0.05,0.05,0.058,0.041,0.056,0.052,0.055,0.054,0.055,0.035,0.044,0.037,0.05,0.05,0.047,0.054,0.042,0.046,0.045,0.048,0.042,0.053,0.042,0.053,0.056,0.044,0.044,0.047,0.056,0.04,0.047,0.053,0.04,0.051,0.047,0.055,0.055,0.058,0.041,0.048,0.039,0.04,0.043,0.056,0.057,0.06,0.046,0.049,0.044,0.038
38,0.047,0.04,0.061,0.064,0.057,0.052,0.051,0.057,0.053,0.05,0.05,0.059,0.05,0.062,0.05,0.047,0.048,0.063,0.056,0.057,0.052,0.057,0.066,0.043,0.046,0.05,0.057,0.052,0.044,0.047,0.052,0.049,0.052,0.044,0.056,0.056,0.05,0.044,0.053,0.047,0.043,0.05,0.049,0.051,0.053,0.047,0.055,0.05,0.039,0.037,0.064,0.048,0.045,0.046,0.045,0.047,0.038,0.052,0.039,0.057,0.029,0.04,0.053,0.06,0.057,0.059,0.039,0.059,0.042,0.051,0.053,0.044,0.045,0.052,0.056,0.054,0.049,0.043,0.047,0.05,0.047,0.053,0.047,0.042,0.047,0.055,0.052,0.038,0.045,0.054,0.057,0.054,0.061,0.043,0.056,0.047,0.043,0.049,0.047,0.034
39,0.051,0.054,0.057,0.052,0.049,0.056,0.049,0.05,0.049,0.049,0.043,0.05,0.045,0.063,0.047,0.044,0.049,0.046,0.04,0.038,0.057,0.064,0.042,0.052,0.052,0.051,0.049,0.04,0.058,0.053,0.039,0.056,0.043,0.051,0.054,0.049,0.057,0.043,0.05,0.059,0.057,0.047,0.044,0.055,0.052,0.046,0.061,0.054,0.04,0.05,0.048,0.057,0.064,0.039,0.042,0.055,0.045,0.054,0.035,0.049,0.052,0.056,0.055,0.046,0.044,0.053,0.061,0.048,0.044,0.057,0.048,0.053,0.061,0.051,0.049,0.054,0.044,0.053,0.048,0.057,0.059,0.051,0.051,0.051,0.057,0.05,0.048,0.055,0.051,0.058,0.056,0.045,0.049,0.051,0.05,0.05,0.053,0.044,0.064,0.05
40,0.051,0.047,0.056,0.053,0.044,0.046,0.05,0.05,0.045,0.044,0.049,0.035,0.043,0.059,0.053,0.044,0.059,0.049,0.056,0.059,0.059,0.046,0.036,0.037,0.053,0.059,0.058,0.047,0.039,0.057,0.061,0.053,0.047,0.071,0.056,0.057,0.042,0.054,0.058,0.047,0.044,0.058,0.049,0.047,0.04,0.063,0.054,0.055,0.046,0.045,0.058,0.05,0.058,0.053,0.054,0.052,0.051,0.05,0.052,0.056,0.044,0.063,0.044,0.044,0.056,0.053,0.04,0.044,0.055,0.056,0.048,0.063,0.055,0.053,0.058,0.047,0.062,0.04,0.044,0.054,0.044,0.058,0.058,0.043,0.057,0.059,0.05,0.045,0.051,0.046,0.045,0.065,0.053,0.038,0.041,0.055,0.042,0.053,0.063,0.061
41,0.052,0.055,0.05,0.041,0.067,0.058,0.052,0.046,0.073,0.053,0.046,0.041,0.046,0.059,0.061,0.053,0.043,0.047,0.047,0.061,0.038,0.057,0.044,0.063,0.065,0.045,0.043,0.06,0.051,0.055,0.048,0.049,0.052,0.063,0.05,0.057,0.046,0.054,0.043,0.047,0.049,0.055,0.066,0.039,0.052,0.063,0.047,0.07,0.053,0.039,0.054,0.064,0.057,0.046,0.052,0.051,0.048,0.055,0.059,0.048,0.046,0.05,0.056,0.054,0.059,0.046,0.056,0.054,0.046,0.048,0.059,0.061,0.058,0.057,0.059,0.052,0.05,0.058,0.047,0.04,0.053,0.06,0.04,0.049,0.049,0.06,0.054,0.055,0.044,0.045,0.049,0.049,0.063,0.053,0.04,0.053,0.067,0.042,0.049,0.048
42,0.058,0.047,0.05,0.053,0.052,0.05,0.047,0.054,0.05,0.056,0.046,0.052,0.055,0.05,0.043,0.046,0.048,0.046,0.048,0.043,0.051,0.059,0.03,0.051,0.06,0.053,0.045,0.045,0.057,0.046,0.051,0.054,0.05,0.046,0.049,0.061,0.044,0.057,0.038,0.051,0.064,0.05,0.049,0.056,0.06,0.038,0.047,0.054,0.061,0.057,0.046,0.054,0.049,0.054,0.047,0.054,0.046,0.062,0.061,0.055,0.05,0.062,0.053,0.06,0.049,0.054,0.06,0.058,0.057,0.059,0.062,0.059,0.049,0.056,0.05,0.052,0.043,0.071,0.051,0.045,0.049,0.06,0.055,0.054,0.06,0.049,0.057,0.055,0.048,0.054,0.057,0.047,0.055,0.048,0.05,0.057,0.044,0.039,0.055,0.052
43,0.054,0.06,0.05,0.047,0.055,0.059,0.045,0.053,0.055,0.06,0.041,0.051,0.05,0.062,0.056,0.069,0.047,0.054,0.038,0.052,0.052,0.056,0.054,0.043,0.051,0.059,0.061,0.047,0.064,0.039,0.057,0.058,0.062,0.047,0.052,0.054,0.053,0.066,0.053,0.063,0.043,0.05,0.04,0.06,0.044,0.046,0.055,0.04,0.058,0.055,0.053,0.049,0.055,0.045,0.051,0.047,0.073,0.055,0.053,0.06,0.061,0.044,0.047,0.054,0.059,0.046,0.057,0.048,0.049,0.06,0.04,0.045,0.038,0.047,0.044,0.058,0.05,0.043,0.06,0.057,0.065,0.051,0.047,0.058,0.053,0.056,0.056,0.036,0.032,0.064,0.064,0.055,0.054,0.057,0.047,0.054,0.049,0.05,0.051,0.052
44,0.049,0.053,0.052,0.053,0.048,0.049,0.061,0.051,0.045,0.059,0.06,0.06,0.066,0.056,0.054,0.069,0.058,0.054,0.06,0.05,0.049,0.052,0.059,0.072,0.062,0.041,0.042,0.048,0.051,0.043,0.062,0.058,0.051,0.051,0.047,0.054,0.075,0.048,0.053,0.053,0.055,0.055,0.057,0.059,0.053,0.052,0.047,0.06,0.054,0.044,0.047,0.057,0.059,0.06,0.051,0.053,0.041,0.053,0.051,0.048,0.039,0.056,0.063,0.063,0.052,0.052,0.068,0.06,0.053,0.064,0.062,0.056,0.06,0.051,0.064,0.046,0.054,0.057,0.044,0.054,0.065,0.048,0.054,0.053,0.062,0.046,0.055,0.049,0.063,0.049,0.054,0.065,0.043,0.048,0.06,0.06,0.058,0.043,0.046,0.056
45,0.064,0.049,0.048,0.053,0.063,0.059,0.052,0.045,0.05,0.039,0.055,0.064,0.059,0.049,0.076,0.05,0.055,0.072,0.054,0.054,0.074,0.049,0.052,0.047,0.059,0.054,0.042,0.061,0.058,0.063,0.058,0.054,0.045,0.053,0.065,0.07,0.061,0.056,0.053,0.046,0.059,0.058,0.065,0.056,0.051,0.052,0.058,0.061,0.07,0.057,0.067,0.066,0.063,0.058,0.045,0.042,0.043,0.041,0.057,0.049,0.048,0.047,0.05,0.045,0.052,0.051,0.055,0.065,0.052,0.047,0.048,0.061,0.055,0.06,0.047,0.06,0.063,0.053,0.057,0.072,0.058,0.051,0.057,0.045,0.058,0.053,0.044,0.058,0.057,0.063,0.055,0.05,0.051,0.055,0.052,0.051,0.066,0.054,0.055,0.055
46,0.053,0.054,0.055,0.064,0.051,0.052,0.066,0.064,0.051,0.053,0.056,0.043,0.056,0.066,0.053,0.06,0.047,0.057,0.053,0.055,0.06,0.061,0.048,0.052,0.069,0.061,0.061,0.059,0.059,0.057,0.056,0.061,0.053,0.064,0.051,0.051,0.056,0.053,0.058,0.058,0.06,0.056,0.051,0.053,0.055,0.049,0.057,0.047,0.048,0.07,0.054,0.049,0.066,0.054,0.04,0.043,0.067,0.05,0.055,0.065,0.063,0.057,0.06,0.056,0.049,0.055,0.058,0.069,0.05,0.047,0.065,0.052,0.059,0.056,0.047,0.048,0.052,0.058,0.051,0.059,0.053,0.051,0.064,0.058,0.053,0.052,0.05,0.056,0.07,0.047,0.053,0.05,0.048,0.048,0.051,0.045,0.052,0.04,0.067,0.056
47,0.052,0.059,0.058,0.058,0.056,0.045,0.048,0.054,0.051,0.06,0.053,0.052,0.058,0.059,0.052,0.05,0.058,0.061,0.055,0.058,0.063,0.061,0.05,0.06,0.053,0.056,0.053,0.056,0.054,0.056,0.066,0.062,0.059,0.051,0.063,0.058,0.052,0.062,0.066,0.049,0.054,0.068,0.065,0.048,0.06,0.059,0.06,0.054,0.049,0.052,0.046,0.055,0.058,0.065,0.049,0.054,0.052,0.056,0.06,0.049,0.055,0.056,0.053,0.046,0.052,0.046,0.061,0.063,0.06,0.047,0.056,0.056,0.05,0.06,0.052,0.048,0.053,0.062,0.062,0.058,0.055,0.048,0.06,0.049,0.062,0.052,0.062,0.043,0.046,0.062,0.058,0.066,0.053,0.046,0.049,0.053,0.056,0.054,0.062,0.06
48,0.058,0.062,0.065,0.067,0.059,0.062,0.061,0.047,0.055,0.053,0.053,0.062,0.049,0.048,0.061,0.043,0.058,0.061,0.042,0.057,0.06,0.061,0.044,0.054,0.054,0.055,0.067,0.049,0.065,0.057,0.047,0.049,0.058,0.054,0.063,0.057,0.059,0.053,0.062,0.053,0.054,0.048,0.057,0.065,0.046,0.063,0.056,0.046,0.055,0.052,0.048,0.05,0.062,0.061,0.052,0.062,0.063,0.071,0.053,0.049,0.051,0.061,0.056,0.045,0.053,0.044,0.062,0.05,0.058,0.045,0.051,0.058,0.05,0.062,0.057,0.062,0.062,0.056,0.054,0.059,0.052,0.066,0.065,0.049,0.057,0.068,0.048,0.06,0.057,0.06,0.055,0.062,0.052,0.052,0.067,0.054,0.053,0.055,0.048,0.056
49,0.05,0.062,0.059,0.058,0.054,0.057,0.058,0.052,0.062,0.063,0.07,0.058,0.05,0.049,0.057,0.065,0.067,0.054,0.072,0.054,0.07,0.065,0.04,0.054,0.057,0.05,0.065,0.057,0.064,0.059,0.054,0.048,0.059,0.059,0.058,0.059,0.054,0.053,0.051,0.067,0.057,0.05,0.061,0.066,0.067,0.054,0.044,0.06,0.059,0.049,0.05,0.044,0.073,0.053,0.061,0.048,0.066,0.049,0.058,0.064,0.063,0.049,0.054,0.072,0.052,0.04,0.061,0.061,0.061,0.06,0.044,0.055,0.061,0.053,0.054,0.074,0.05,0.056,0.065,0.056,0.059,0.059,0.053,0.045,0.058,0.06,0.056,0.053,0.047,0.047,0.068,0.06,0.055,0.041,0.056,0.048,0.071,0.061,0.052,0.065
50,0.063,0.06,0.066,0.065,0.057,0.072,0.063,0.046,0.076,0.049,0.065,0.053,0.051,0.055,0.059,0.043,0.05,0.051,0.05,0.047,0.055,0.057,0.056,0.036,0.057,0.053,0.064,0.07,0.056,0.065,0.064,0.066,0.064,0.051,0.054,0.057,0.057,0.049,0.046,0.05,0.055,0.061,0.042,0.059,0.061,0.057,0.056,0.048,0.049,0.05,0.057,0.058,0.052,0.066,0.058,0.063,0.048,0.062,0.069,0.048,0.059,0.062,0.055,0.052,0.067,0.061,0.067,0.058,0.072,0.056,0.07,0.063,0.06,0.054,0.053,0.049,0.057,0.053,0.062,0.04,0.061,0.065,0.059,0.05,0.057,0.049,0.044,0.06,0.065,0.053,0.064,0.064,0.074,0.061,0.052,0.055,0.067,0.069,0.048,0.071
51,0.035,0.055,0.062,0.064,0.058,0.082,0.052,0.041,0.059,0.056,0.069,0.062,0.047,0.057,0.045,0.051,0.049,0.058,0.063,0.059,0.05,0.066,0.041,0.061,0.043,0.052,0.05,0.047,0.049,0.057,0.061,0.054,0.076,0.052,0.05,0.05,0.062,0.06,0.056,0.049,0.063,0.039,0.054,0.062,0.057,0.064,0.058,0.064,0.052,0.059,0.057,0.07,0.058,0.057,0.06,0.043,0.07,0.059,0.057,0.057,0.061,0.06,0.059,0.056,0.053,0.055,0.062,0.062,0.052,0.061,0.047,0.072,0.048,0.067,0.051,0.061,0.061,0.064,0.056,0.063,0.05,0.067,0.048,0.039,0.06,0.075,0.063,0.065,0.053,0.073,0.052,0.055,0.048,0.069,0.059,0.059,0.054,0.056,0.05,0.063
52,0.055,0.067,0.064,0.054,0.059,0.056,0.076,0.038,0.049,0.058,0.049,0.055,0.051,0.054,0.049,0.053,0.063,0.068,0.055,0.069,0.056,0.052,0.061,0.066,0.064,0.08,0.058,0.063,0.052,0.05,0.059,0.055,0.052,0.068,0.043,0.053,0.057,0.069,0.063,0.058,0.055,0.068,0.07,0.061,0.056,0.043,0.063,0.052,0.056,0.06,0.061,0.066,0.072,0.069,0.06,0.056,0.06,0.06,0.053,0.052,0.066,0.064,0.058,0.068,0.061,0.067,0.053,0.067,0.055,0.045,0.048,0.057,0.058,0.058,0.062,0.046,0.056,0.065,0.04,0.061,0.062,0.072,0.071,0.059,0.057,0.065,0.054,0.06,0.041,0.057,0.041,0.066,0.067,0.054,0.056,0.058,0.062,0.066,0.052,0.055
53,0.058,0.062,0.059,0.073,0.064,0.056,0.068,0.065,0.054,0.057,0.052,0.043,0.062,0.061,0.075,0.056,0.063,0.073,0.051,0.055,0.067,0.057,0.066,0.054,0.052,0.057,0.059,0.055,0.044,0.053,0.066,0.055,0.057,0.058,0.066,0.049,0.068,0.065,0.055,0.07,0.061,0.05,0.053,0.064,0.075,0.061,0.048,0.06,0.061,0.048,0.047,0.042,0.066,0.063,0.071,0.055,0.051,0.061,0.065,0.056,0.055,0.043,0.055,0.064,0.064,0.048,0.058,0.059,0.049,0.059,0.05,0.054,0.058,0.045,0.07,0.063,0.057,0.065,0.047,0.069,0.052,0.055,0.053,0.048,0.067,0.057,0.058,0.067,0.055,0.058,0.061,0.058,0.065,0.055,0.048,0.069,0.071,0.067,0.064,0.058
54,0.071,0.059,0.05,0.053,0.054,0.061,0.053,0.063,0.05,0.064,0.05,0.05,0.056,0.045,0.062,0.064,0.052,0.074,0.059,0.064,0.062,0.073,0.067,0.058,0.072,0.051,0.069,0.065,0.05,0.053,0.072,0.06,0.07,0.056,0.067,0.059,0.052,0.067,0.067,0.06,0.068,0.055,0.077,0.054,0.059,0.062,0.05,0.05,0.06,0.061,0.06,0.064,0.054,0.057,0.068,0.049,0.073,0.047,0.065,0.052,0.055,0.054,0.066,0.057,0.053,0.049,0.049,0.063,0.051,0.058,0.066,0.059,0.061,0.057,0.065,0.062,0.069,0.052,0.048,0.068,0.051,0.063,0.048,0.055,0.045,0.049,0.052,0.063,0.057,0.055,0.065,0.058,0.062,0.054,0.051,0.075,0.076,0.057,0.061,0.056
55,0.042,0.05,0.059,0.062,0.069,0.063,0.061,0.069,0.057,0.052,0.064,0.056,0.063,0.052,0.066,0.071,0.057,0.045,0.059,0.063,0.063,0.053,0.055,0.052,0.062,0.059,0.07,0.05,0.062,0.061,0.065,0.061,0.058,0.059,0.061,0.059,0.057,0.05,0.06,0.059,0.051,0.06,0.062,0.05,0.054,0.064,0.059,0.07,0.067,0.067,0.048,0.058,0.066,0.063,0.051,0.068,0.07,0.059,0.057,0.058,0.056,0.058,0.051,0.062,0.061,0.062,0.075,0.056,0.048,0.056,0.058,0.058,0.056,0.063,0.061,0.059,0.07,0.062,0.063,0.047,0.057,0.058,0.052,0.046,0.072,0.056,0.058,0.062,0.059,0.052,0.068,0.059,0.064,0.06,0.064,0.063,0.058,0.066,0.042,0.057
56,0.064,0.071,0.055,0.06,0.064,0.064,0.053,0.071,0.066,0.066,0.053,0.051,0.071,0.067,0.049,0.061,0.066,0.074,0.069,0.058,0.071,0.053,0.068,0.048,0.071,0.054,0.059,0.054,0.055,0.062,0.05,0.049,0.066,0.059,0.064,0.075,0.062,0.054,0.056,0.064,0.047,0.057,0.048,0.061,0.053,0.056,0.057,0.054,0.057,0.065,0.063,0.065,0.072,0.055,0.062,0.063,0.064,0.063,0.058,0.063,0.062,0.052,0.064,0.06,0.063,0.065,0.056,0.06,0.072,0.062,0.064,0.057,0.051,0.042,0.063,0.073,0.046,0.057,0.058,0.058,0.049,0.064,0.064,0.07,0.059,0.057,0.058,0.067,0.067,0.056,0.054,0.06,0.075,0.057,0.064,0.072,0.069,0.058,0.046,0.051
57,0.062,0.075,0.051,0.054,0.055,0.062,0.054,0.055,0.06,0.058,0.06,0.07,0.064,0.068,0.053,0.055,0.063,0.068,0.069,0.053,0.074,0.066,0.061,0.071,0.076,0.07,0.06,0.056,0.068,0.061,0.064,0.059,0.067,0.064,0.063,0.069,0.068,0.062,0.073,0.054,0.055,0.072,0.063,0.054,0.055,0.059,0.055,0.065,0.057,0.063,0.046,0.049,0.075,0.045,0.054,0.058,0.051,0.065,0.051,0.071,0.071,0.056,0.068,0.044,0.056,0.064,0.053,0.071,0.054,0.069,0.067,0.065,0.063,0.064,0.061,0.07,0.069,0.052,0.083,0.06,0.071,0.051,0.069,0.076,0.058,0.045,0.063,0.057,0.057,0.061,0.061,0.063,0.062,0.063,0.067,0.06,0.064,0.072,0.052,0.071
58,0.063,0.065,0.082,0.058,0.057,0.057,0.052,0.053,0.058,0.051,0.059,0.049,0.065,0.076,0.044,0.065,0.059,0.058,0.052,0.053,0.066,0.044,0.061,0.073,0.085,0.046,0.058,0.057,0.051,0.065,0.05,0.06,0.066,0.065,0.056,0.049,0.056,0.054,0.067,0.062,0.063,0.068,0.072,0.065,0.05,0.064,0.057,0.066,0.061,0.075,0.06,0.053,0.06,0.066,0.071,0.047,0.058,0.073,0.053,0.052,0.063,0.043,0.056,0.058,0.047,0.071,0.064,0.056,0.051,0.057,0.063,0.05,0.061,0.053,0.047,0.067,0.061,0.057,0.064,0.047,0.056,0.053,0.053,0.069,0.069,0.061,0.061,0.047,0.058,0.059,0.051,0.056,0.068,0.07,0.048,0.059,0.056,0.063,0.058,0.064
59,0.051,0.07,0.072,0.063,0.053,0.065,0.062,0.061,0.069,0.067,0.057,0.061,0.062,0.058,0.062,0.067,0.061,0.066,0.057,0.067,0.068,0.072,0.051,0.064,0.063,0.07,0.069,0.066,0.054,0.07,0.051,0.054,0.066,0.058,0.057,0.06,0.054,0.047,0.063,0.052,0.051,0.06,0.056,0.057,0.06,0.072,0.058,0.053,0.069,0.073,0.06,0.063,0.068,0.064,0.056,0.056,0.047,0.063,0.061,0.07,0.052,0.078,0.064,0.069,0.068,0.048,0.052,0.059,0.07,0.084,0.063,0.063,0.07,0.061,0.057,0.052,0.065,0.055,0.073,0.071,0.056,0.052,0.068,0.069,0.074,0.059,0.06,0.071,0.073,0.064,0.072,0.056,0.057,0.056,0.061,0.071,0.078,0.067,0.059,0.071
60,0.062,0.063,0.068,0.065,0.066,0.059,0.056,0.056,0.064,0.06,0.068,0.052,0.061,0.049,0.057,0.071,0.062,0.043,0.058,0.058,0.055,0.053,0.064,0.065,0.058,0.053,0.066,0.051,0.059,0.066,0.05,0.056,0.055,0.056,0.059,0.065,0.063,0.067,0.056,0.051,0.061,0.062,0.079,0.053,0.07,0.081,0.064,0.054,0.061,0.062,0.065,0.068,0.069,0.054,0.073,0.064,0.06,0.065,0.063,0.061,0.051,0.067,0.072,0.067,0.056,0.066,0.068,0.065,0.05,0.073,0.066,0.063,0.059,0.071,0.057,0.065,0.068,0.056,0.066,0.044,0.073,0.065,0.043,0.069,0.046,0.073,0.06,0.075,0.052,0.063,0.056,0.067,0.058,0.072,0.065,0.065,0.066,0.067,0.061,0.073
61,0.068,0.046,0.055,0.057,0.075,0.056,0.061,0.07,0.068,0.058,0.069,0.063,0.059,0.064,0.069,0.06,0.066,0.077,0.058,0.06,0.059,0.059,0.073,0.069,0.066,0.059,0.069,0.06,0.076,0.053,0.057,0.056,0.056,0.059,0.063,0.081,0.063,0.058,0.071,0.078,0.059,0.061,0.066,0.064,0.065,0.058,0.063,0.067,0.057,0.069,0.056,0.061,0.082,0.062,0.067,0.083,0.057,0.057,0.062,0.059,0.07,0.074,0.053,0.07,0.086,0.056,0.062,0.062,0.058,0.079,0.054,0.058,0.055,0.078,0.066,0.061,0.067,0.05,0.057,0.065,0.065,0.071,0.086,0.064,0.063,0.053,0.053,0.062,0.05,0.067,0.073,0.058,0.052,0.063,0.066,0.06,0.056,0.065,0.076,0.067
62,0.051,0.048,0.071,0.062,0.064,0.061,0.07,0.062,0.056,0.062,0.046,0.059,0.057,0.075,0.061,0.06,0.064,0.058,0.07,0.075,0.055,0.052,0.059,0.062,0.055,0.075,0.066,0.059,0.061,0.065,0.071,0.061,0.057,0.077,0.06,0.071,0.055,0.066,0.074,0.055,0.059,0.068,0.066,0.065,0.064,0.058,0.069,0.075,0.066,0.077,0.074,0.053,0.077,0.066,0.06,0.062,0.078,0.064,0.049,0.063,0.06,0.059,0.069,0.072,0.062,0.065,0.06,0.08,0.064,0.063,0.065,0.046,0.069,0.063,0.065,0.056,0.053,0.063,0.056,0.063,0.069,0.07,0.06,0.085,0.06,0.055,0.051,0.073,0.068,0.07,0.062,0.064,0.062,0.069,0.071,0.055,0.063,0.067,0.048,0.059
63,0.069,0.077,0.063,0.068,0.083,0.075,0.072,0.06,0.068,0.062,0.065,0.044,0.068,0.053,0.064,0.059,0.072,0.063,0.06,0.07,0.076,0.059,0.056,0.07,0.062,0.063,0.055,0.07,0.06,0.065,0.065,0.058,0.059,0.068,0.057,0.052,0.064,0.062,0.067,0.075,0.066,0.061,0.084,0.067,0.062,0.068,0.046,0.09,0.054,0.055,0.065,0.068,0.089,0.067,0.066,0.064,0.07,0.058,0.074,0.071,0.054,0.066,0.064,0.072,0.058,0.065,0.054,0.059,0.08,0.056,0.059,0.072,0.066,0.06,0.08,0.074,0.055,0.071,0.064,0.063,0.062,0.075,0.062,0.057,0.061,0.051,0.065,0.067,0.067,0.067,0.071,0.067,0.064,0.058,0.063,0.065,0.074,0.069,0.063,0.047
64,0.07,0.054,0.07,0.061,0.056,0.062,0.057,0.064,0.052,0.073,0.068,0.071,0.061,0.072,0.071,0.076,0.057,0.062,0.055,0.061,0.063,0.063,0.07,0.061,0.055,0.075,0.059,0.054,0.065,0.059,0.057,0.072,0.056,0.058,0.08,0.078,0.061,0.055,0.062,0.058,0.063,0.048,0.061,0.062,0.061,0.074,0.08,0.059,0.064,0.069,0.064,0.048,0.079,0.059,0.05,0.07,0.078,0.064,0.068,0.071,0.061,0.057,0.064,0.063,0.066,0.064,0.069,0.083,0.063,0.053,0.073,0.077,0.072,0.063,0.057,0.061,0.058,0.071,0.066,0.053,0.056,0.06,0.063,0.077,0.059,0.056,0.065,0.064,0.058,0.067,0.068,0.054,0.071,0.062,0.058,0.063,0.072,0.069,0.066,0.055
65,0.059,0.056,0.055,0.06,0.075,0.064,0.068,0.068,0.063,0.067,0.053,0.067,0.076,0.063,0.063,0.067,0.059,0.055,0.06,0.059,0.06,0.069,0.052,0.061,0.076,0.071,0.055,0.071,0.067,0.053,0.068,0.056,0.057,0.06,0.064,0.07,0.058,0.063,0.076,0.06,0.065,0.068,0.062,0.052,0.06,0.07,0.065,0.077,0.073,0.066,0.061,0.067,0.07,0.057,0.059,0.073,0.051,0.054,0.078,0.081,0.073,0.075,0.042,0.074,0.071,0.056,0.065,0.076,0.048,0.058,0.071,0.059,0.064,0.058,0.069,0.067,0.051,0.066,0.074,0.068,0.072,0.052,0.067,0.064,0.063,0.063,0.077,0.065,0.066,0.072,0.063,0.058,0.065,0.061,0.07,0.082,0.071,0.066,0.071,0.063
66,0.064,0.059,0.057,0.065,0.086,0.062,0.056,0.052,0.07,0.082,0.072,0.065,0.065,0.057,0.071,0.067,0.067,0.071,0.055,0.072,0.071,0.07,0.061,0.074,0.057,0.074,0.076,0.053,0.058,0.06,0.054,0.065,0.052,0.078,0.063,0.055,0.063,0.066,0.068,0.053,0.065,0.055,0.058,0.065,0.07,0.074,0.061,0.066,0.064,0.072,0.055,0.06,0.076,0.066,0.064,0.065,0.061,0.065,0.064,0.063,0.071,0.045,0.064,0.067,0.069,0.073,0.072,0.061,0.064,0.079,0.059,0.057,0.054,0.064,0.065,0.069,0.075,0.063,0.063,0.067,0.062,0.086,0.054,0.052,0.057,0.071,0.066,0.062,0.056,0.06,0.077,0.058,0.077,0.078,0.068,0.07,0.072,0.062,0.064,0.073
